title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
Ariel,movie,"Comedy, Crime, Drama",1988,tt0094675,7.4,9237,,Comedy, Crime, Drama,,,
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8069,,Comedy, Drama, Music,,,
Forrest Gump,movie,"Drama, Romance",1994,tt0109830,8.8,2390861,,Drama, Romance,,,,
American Beauty,movie,Drama,1999,tt0169547,8.3,1252487,,Drama,,,,,
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,528882,,Action, Adventure, Sci-Fi,,,
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,216627,,Biography, Drama, War,,,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,456226,,Drama, Western,,,,
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1141344,,Drama, Romance, Sci-Fi,,,
Amores Perros,movie,"Drama, Thriller",2000,tt0245712,8,268475,,Drama, Thriller,,,,
A History of Violence,movie,"Action, Crime, Drama",2005,tt0399146,7.4,265390,,Action, Crime, Drama,,,
Talk to Her,movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120163,,Drama, Mystery, Romance,,,
8 Mile,movie,"Drama, Music",2002,tt0298203,7.2,339608,,Drama, Music,,,,
Paradise Now,movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24546,,Crime, Drama, Thriller,,,
Million Dollar Baby,movie,"Drama, Sport",2004,tt0405159,8.1,748564,,Drama, Sport,,,,
Billy Elliot,movie,"Drama, Music",2000,tt0249462,7.7,148372,,Drama, Music,,,,
American History X,movie,"Crime, Drama",1998,tt0120586,8.5,1235459,,Crime, Drama,,,,
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252902,,Comedy, Sci-Fi,,,,
Before Sunrise,movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,361132,,Comedy, Drama, Romance,,,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1384580,,Mystery, Thriller,,,,
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,191081,,Action, Adventure, Drama,,,
Before Sunset,movie,"Drama, Romance",2004,tt0381681,8.1,303604,,Drama, Romance,,,,
Nausicaa of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,191345,,Adventure, Animation, Sci-Fi,,,
Open Water,movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,58030,,Adventure, Drama, Horror,,,
Raiders of the Lost Ark,movie,"Action, Adventure",1981,tt0082971,8.4,1078547,,Action, Adventure,,,,
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,tt0087469,7.5,554018,,Action, Adventure,,,,
Dirty Dancing,movie,"Drama, Music, Romance",1987,tt0092890,7.1,270495,,Drama, Music, Romance,,,
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,tt0097576,8.2,841693,,Action, Adventure,,,,
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,tt0086960,7.4,225009,,Action, Comedy, Crime,,,
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,tt0092644,6.6,144006,,Action, Comedy, Crime,,,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1768898,,Action, Adventure, Drama,,,
All About My Mother,movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107170,,Comedy, Drama, Romance,,,
Léon: The Professional,movie,"Action, Crime, Drama",1994,tt0110413,8.5,1307763,,Action, Crime, Drama,,,
Open Hearts,movie,"Drama, Romance",2002,tt0315543,7.5,11351,,Drama, Romance,,,,
Taxi Driver,movie,"Crime, Drama",1976,tt0075314,8.2,983794,,Crime, Drama,,,,
Run Lola Run,movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213907,,Action, Crime, Thriller,,,
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1384655,,Adventure, Comedy, Sci-Fi,,,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,949399,,Comedy, Crime,,,,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,971358,,Crime, Drama,,,,
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,tt0243862,7,14257,,Comedy, Drama, Romance,,,
The Untouchables,movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,344729,,Crime, Drama, Thriller,,,
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,553057,,Adventure, Comedy, Family,,,
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2118205,,Adventure, Drama, Fantasy,,,
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1881924,,Adventure, Drama, Fantasy,,,
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2087445,,Adventure, Drama, Fantasy,,,
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,462902,,Adventure, Animation, Fantasy,,,
Spirited Away,movie,"Adventure, Animation, Family",2001,tt0245429,8.6,916290,,Adventure, Animation, Family,,,
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,342346,,Adventure, Comedy, Crime,,,
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,719411,,Comedy, Drama, Fantasy,,,
Bad Education,movie,"Crime, Drama",2004,tt0275491,7.4,65049,,Crime, Drama,,,,
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,885402,,Drama, Mystery, Sci-Fi,,,
Brokeback Mountain,movie,"Drama, Romance",2005,tt0388795,7.7,402914,,Drama, Romance,,,,
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,216868,,Animation, Drama, Fantasy,,,
48 Hrs.,movie,"Action, Comedy, Crime",1982,tt0083511,6.9,90090,,Action, Comedy, Crime,,,
Lost in Translation,movie,"Comedy, Drama",2003,tt0335266,7.7,512456,,Comedy, Drama,,,,
The Dark Knight,movie,"Action, Crime, Drama",2008,tt0468569,9,3034835,,Action, Crime, Drama,,,
Ocean's Eleven,movie,"Crime, Thriller",2001,tt0240772,7.7,649729,,Crime, Thriller,,,,
Ocean's Twelve,movie,"Crime, Thriller",2004,tt0349903,6.5,428160,,Crime, Thriller,,,,
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,600139,,Adventure, Comedy, Sci-Fi,,,
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,491732,,Horror, Mystery, Thriller,,,
Minority Report,movie,"Action, Crime, Mystery",2002,tt0181689,7.6,604652,,Action, Crime, Mystery,,,
Jackie Brown,movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,391132,,Crime, Drama, Thriller,,,
Sin City,movie,"Crime, Thriller",2005,tt0401792,8,809268,,Crime, Thriller,,,,
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,tt0458481,6.5,175289,,Action, Crime, Thriller,,,
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986,tt0091605,7.7,123186,,Drama, Mystery, Thriller,,,
Amelia,movie,"Comedy, Romance",2001,tt0211915,8.3,820852,,Comedy, Romance,,,,
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,502380,,Adventure, Comedy, Sci-Fi,,,
Saw III,movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,221924,,Horror, Mystery, Thriller,,,
Saw II,movie,"Horror, Mystery",2005,tt0432348,6.6,288760,,Horror, Mystery,,,,
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,tt0367882,6.2,504339,,Action, Adventure,,,,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110547,,Comedy, Drama,,,,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136729,,Drama, Thriller,,,,
Stand by Me,movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,466760,,Adventure, Comedy, Drama,,,
The Godfather,movie,"Crime, Drama",1972,tt0068646,9.2,2136216,,Crime, Drama,,,,
The Godfather Part II,movie,"Crime, Drama",1974,tt0071562,9,1437307,,Crime, Drama,,,,
