title,type,genres,Year Released,IMDB Score,rating,duration,description,Less than 25 Years Old
Last Chance U: Basketball,TV Show,Docuseries,2021,-,TV-MA,1 Season,“Last Chance U” hits the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,True
White Lines,TV Show,"British TV Shows, Crime TV Shows, International TV Shows",2020,-,TV-MA,1 Season,"Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she quickly heads down a decadent and dangerous path.",True
Don't Go Breaking My Heart 2,Movie,"Comedies, International Movies, Romantic Movies",2014,-,TV-14,113 min,"Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise.",True
Zig & Sharko,TV Show,"Kids' TV, TV Comedies",2019,-,TV-Y7,2 Seasons,"Zig, an island-bound hyena, will do anything to get his paws on Marina the mermaid, but her devoted pal Sharko always comes to her rescue in time.",True
Miniforce X,TV Show,"Kids' TV, Korean TV Shows",2018,-,TV-Y7,1 Season,Zenos wants to use the Earth’s negative energy for his own good – and it's up to Miniforce X to stop this space alien’s evil plans.,True
Stuart Little 2,Movie,"Children & Family Movies, Comedies",2002,-,PG,78 min,"Zany misadventures are in store as lovable city mouse Stuart and his human brother, George, raise the roof in this sequel to the 1999 blockbuster.",True
Willy Wonka & the Chocolate Factory,Movie,"Children & Family Movies, Classic Movies, Comedies",1971,-,G,100 min,Zany Willy Wonka causes a stir when he announces that golden tickets hidden inside his candy bars will admit holders into his secret confectionary.,False
Zack and Miri Make a Porno,Movie,"Comedies, Independent Movies, Romantic Movies",2008,-,R,101 min,Zack and Miri make and star in an adult film to bring in easy money. But their unspoken feelings for each other might threaten the whole enterprise.,True
Creating an Army of the Dead,Movie,Documentaries,2021,-,TV-MA,29 min,"Zack Snyder and his ""Army of the Dead"" team dive into the film's wild stunts, groundbreaking effects and the evolution of the zombie genre.",True
Have You Ever Seen Fireflies? - Theatre Play,Movie,"Dramas, International Movies",1999,-,TV-MA,118 min,Yılmaz Erdoğan's lauded stage play traces the life of wunderkind Gülseren as she navigates social and political change.,False
The Present,Movie,"Dramas, International Movies",2020,-,TV-MA,24 min,"Yusuf and his daughter set out to buy his wife an anniversary gift, a gesture demanding much patience and negotiation skills in the West Bank.",True
Kakegurui,TV Show,"International TV Shows, TV Dramas, TV Thrillers",2019,-,TV-MA,2 Seasons,"Yumeko Jabami enrolls at Hyakkaou Private Academy, where students are ranked by their gambling winnings and fame and fortune awaits those on top.",True
Wakfu,TV Show,Kids' TV,2017,-,TV-PG,3 Seasons,"Yugo, a 12-year-old Eliatrope with special powers, sets out on a mission to find his true family and uncover the mysteries of Wakfu.",True
Ugly Duckling,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas",2015,-,TV-14,4 Seasons,"Young women face up to their insecurities and circumstances, finding love and laughs along the way. Featuring a different storyline every season.",True
Ég man þig,Movie,"Horror Movies, International Movies",2017,-,TV-MA,106 min,"Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",True
Pokémon Journeys: The Series,TV Show,"Anime Series, Kids' TV, TV Action & Adventure",2021,-,TV-Y7,4 Seasons,"Young trainer Ash and his new friend Goh become research fellows at Professor Cerise's laboratory, traveling all over the world to learn about Pokémon.",True
Shiva: Journey to Plunotaria,Movie,Children & Family Movies,2019,-,TV-Y7,81 min,Young superhero Shiva must use his powers to thwart a scheming scientist’s plans to blast Earth with explosive pellets from planet Plunotaria.,True
Goodnight DJ 1,TV Show,"International TV Shows, TV Dramas, TV Horror",2016,-,TV-14,2 Seasons,"Young radio announcers from varying backgrounds encounter the supernatural in mysterious dreams, accidents and everyday life.",True
13 Cameras,Movie,"Horror Movies, Independent Movies, Thrillers",2015,-,NR,90 min,"Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",True
Santa's Apprentice,Movie,Children & Family Movies,2010,-,TV-G,72 min,"Young orphan Nicolas learns how to guide a sleigh, slide down chimneys and other duties he'll need when he becomes the next Santa Claus.",True
Ottaal,Movie,"Dramas, International Movies",2014,-,TV-PG,88 min,"Young orphan Kuttappayi goes to live with his grandfather in the country, but his new life takes a hard turn when his grandfather's health fails.",True
Satrangi,TV Show,"Docuseries, International TV Shows",2014,-,TV-PG,1 Season,Young musicians from 13 states in India demonstrate their cultural heritage by performing regional folk music using traditional instruments.,True
A.X.L.,Movie,"Action & Adventure, Children & Family Movies, Independent Movies",2018,-,PG,99 min,"Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit.",True
The Rap Game,TV Show,Reality TV,2016,-,TV-14,1 Season,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.,True
Chhota Bheem & Krishna: Mayanagari,Movie,Children & Family Movies,2011,-,TV-Y7,67 min,Young lord Krishna has fallen for demoness Maayandri’s revenge plot against him! Can Bheem rescue him and thwart Maayandri’s other destructive plans?,True
Izzy's Koala World,TV Show,Kids' TV,2021,-,TV-Y,2 Seasons,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.,True
Exclusive Edition,TV Show,"International TV Shows, TV Dramas",2008,-,TV-14,1 Season,"Young journalists working for a magazine juggle careers, romance and other challenges while reporting on social issues and news stories in Malaysia.",True
