Title,Type,genres,Year Released,IMDB Score,IMDB Score
Like Stars on Earth,movie,"Drama, Family",2007,tt0986264,8.3
Jaane Tu... Ya Jaane Na,movie,"Comedy, Drama, Romance",2008,tt0473367,7.4
Lagaan: Once Upon a Time in India,movie,"Drama, Musical, Sport",2001,tt0169102,8.1
Querô: A Damned Report,movie,Drama,2007,tt0945383,6.8
Captain Underpants: Epic Choice-o-Rama,movie,"Action, Adventure, Animation",2020,tt11604750,5.8
Behind 98,movie,"Drama, History, Thriller",2015,tt7549874,6.0
Nail Demon,movie,"Comedy, Horror, Romance",2009,tt1462596,5.0
Delhi Belly,movie,"Action, Comedy, Crime",2011,tt1934231,7.6
Pomegranates and Myrrh,movie,Drama,2008,tt1320282,6.3
Love is Not Blind,movie,"Comedy, Drama, Romance",2011,tt2115388,6.5
Habibi Rasak Kharban,movie,"Drama, Romance, War",2011,tt1670646,6.6
Just Friends?,movie,"Drama, Musical, Romance",2009,tt1753995,6.7
A Complicated Story,movie,Drama,2013,tt3503902,5.4
Zwei Tage Hoffnung,movie,Drama,2003,tt0367263,6.1
October 1,movie,"Crime, Drama, Mystery",2014,tt3206616,6.4
Children of Shatila,movie,"Documentary, History",1998,tt0243174,7.7
7/24,movie,"Drama, Romance",2014,tt4277296,6.6
Fifty,movie,"Drama, Romance",2015,tt5065500,6.0
The Guardian Brothers,movie,"Animation, Comedy, Family",2015,tt4788934,5.5
Mais Forte que o Mundo: A História de José Aldo,movie,"Action, Biography, Drama",2016,tt3918584,7.1
Suster Keramas,movie,"Comedy, Horror",2009,tt1979353,5.8
Win It All,movie,Comedy,2017,tt3155328,6.2
Como se Tornar o Pior Aluno da Escola,movie,Comedy,2017,tt6791886,5.4
Chrisye,movie,"Biography, Drama, Music",2017,tt7746238,6.4
"Barba, Cabelo & Bigode",movie,Documentary,2016,tt6469210,7.2
Three Ladies,movie,"Comedy, Drama, Fantasy",2015,tt11644582,6.4
40 Hari Bangkitnya Pocong,movie,Horror,2008,tt1190088,4.9
Laerte-se,movie,"Biography, Documentary",2017,tt6791240,7.0
Alaska Is a Drag,movie,Drama,2017,tt4341390,6.6
Hi5teria,movie,"Horror, Mystery",2012,tt2251820,5.8
Tiren: Mati Kemaren,movie,Horror,2008,tt1269391,4.0
Women at War,movie,"Documentary, History",2014,tt4180082,7.9
Kamulah Satu-Satunya,movie,"Comedy, Drama",2007,tt1063622,6.2
Chale Chalo: The Lunacy of Film Making,movie,Documentary,2003,tt0417528,8.4
Virgin,movie,Drama,2004,tt1318996,5.4
Setan Budeg,movie,"Comedy, Horror",2009,tt1356839,4.5
Until the End of Time,movie,Drama,2017,tt9011224,7.1
The Most Unknown,movie,Documentary,2018,tt8126390,6.5
Koki-Koki Cilik,movie,"Comedy, Drama, Family",2018,tt8517236,7.2
Rompis,movie,"Drama, Romance",2018,tt8798274,6.2
Fatuma,movie,Drama,2018,tt8329296,6.8
"Utopía, La Película",movie,"Action, Drama",2018,tt9174008,5.4
Meu Tricolor de Aço,movie,Documentary,2018,tt11602432,7.6
